AppStore ID,App Name,Weekly Charge,Mothly Charge,Annual Charge,Max Annual total
id1502064586,Beat.ly - Music Video Maker,$6.99,,$19.99,$363.48
id1479390854,Dizzi - Photo & Video Effects,$7.99,,$29.99,$415.48
id1505783237,TikCut - Video Editor Tempo MV,$4.99,$9.99,$69.99,$259.48
id1514366072,Hyper Cleaner: Clean Phone,$4.99,,$29.99,$259.48
id1484108330,Photic - Pic & Photo Editor,$6.99,,$29.99,$363.48
id1450598373,Highlight Story Cover Maker!,$2.99,,$19.99,$155.48
id1527268679,Cartoonify Photo Editor Camera,$7.99,$49.99,$59.99,$415.48
id1491645007,PicMagic- Cartoon Photo Editor,$8.99,,$95.99,$467.48
id1528176190,Cartoons Me - Photo Art Editor,$8.99,,$24.99,$467.48
id1488890984,Vidos - Music Video Maker,$4.99,$8.99,$24.99,$259.48
id1479502509,Camera+: Photo Video&Cutout,$8.99,$19.99,$69.99,$467.48
id1198635925,Piconic - Photo Editor&Collage,$3.99,$11.99,$17.99,$207.48
id1435294929,Sweet Pics - Baby Photo Editor,$4.99,,$29.99,$259.48
id1527261695,FX Mage - Magic Video Effects,$1.99,$6.99,$49.99,$103.48
id1522502107,Slimy: Anxiety Relief Slime 3D,$7.99,$24.99,,$415.48
id1523277919,Frame - Slideshow Video Maker,$4.99,,$34.99,$259.48
id1508129645,Auto Sticker Maker Studio,$8.99,,$24.99,$467.48
id1533947078,iCons - Icon Changer App +,$4.99,$9.99,$29.99,$259.48
id1540719743,ToonApp Cartoon Photo Editor,$4.99,$8.99,$54.99,$259.48
id1512758709,MagicFX - Magic Video Effects,$9.99,$12.99,$59.99,$519.48
id1450162608,Horoscope 2019 and Palm Reader,$9.99,$14.99,$69.99,$519.48
id1350788155,PolyColor - Color by Polygon,$7.99,$29.99,$69.99,$415.48
id1529624492,Famous: Celebrity Look Alike,$5.99,$9.99,$69.99,$311.48
id1524428025,BoomArt - Auto Cutout,$6.99,$24.99,$79.99,$363.48
id1460128812,Slime Boutique by TeasEar,$4.99,$14.99,,$259.48
id1372445149,Handset - Second Phone Number,$7.99,$29.99,,$415.48
id1316038532,Pixpic Color by Number,$7.99,$19.99,$39.99,$415.48
id1456747929,SlidePic - Slideshow Maker,$4.99,,$24.99,$259.48
id1534301239,Widja - Photo Widgets,$2.99,,,$155.48
id447709673,Astro+ Horoscope & Astrology,$9.99,$14.99,$49.99,$519.48
id1438851903,FaceMe－Fun Personality Tests,$9.99,$19.99,$49.99,$519.48
id1264068926,Watercolor Effect Oil Painting,$4.99,,$29.99,$259.48
id1534297276,Widget PLUS+ - Photo & Weather,$4.99,$14.99,$39.99,$259.48
id1358312640,Wordy - Word Search Adventure,$4.99,$9.99,,$259.48
id1441792214,KeyTune - Custom keyboard,$5.99,,$24.99,$311.48
id1457371162,aipic - Magic Photo Editor,$4.99,$6.99,$19.99,$259.48
id1499292615,PicsFX:Photo&Video Editor,$9.99,$18.99,,$519.48
id1446001957,Path - Horoscope & Astrology,$9.99,$29.99,,$519.48
id1525529573,Magic Makeup - Tattoo Design,$5.99,$9.99,$69.99,$311.48
id1312869367,tmm - Chat Fiction Stories,$7.99,,$39.99,$415.48
id1085652055,Photo Collage - Collageable,$7.99,,,$415.48
id1486555861,Followers+-My Ins Reports,$8.99,$19.99,$35.99,$467.48
id1501366665,Hub - Story Templates Maker,$3.99,$9.99,$29.99,$207.48
id1532864216,iWidget Pro : Custom widgets,$5.99,$9.99,$19.99,$311.48
id1532725951,VidTempo - Music Video Maker,$4.99,,$29.99,$259.48
id1468905210,Video Puzzles - Magic Puzzle,$7.99,,,$415.48
id1532236315,Funny Face Swap Me - GIF Maker,$8.99,$9.99,$39.99,$467.48
id1503641889,Body Editor : Manly Body&Hair,$4.99,$7.99,$19.99,$259.48
id1485065362,Flame: Smart Online App,$14.99,$39.99,$119.99,$779.48
id1545086676,Menu Maker!,$3.99,,$49.99,$207.48
id1471625272,Fortunescan: Palmistry Online,$7.99,,,$415.48
id1523267093,Video Maker - Photo Effects,,$19.99,,$239.88
id493226494,edjing Mix - dj app,$7.99,,$59.99,$415.48
id426912243,"Guitar - Chords, Tabs & Games",$7.99,$12.99,$49.99,$415.48
id694133630,Piano - Lessons & Tiles Games,$7.99,$19.99,$49.99,$415.48
id1141835258,Beat Maker Go - Make Music,$7.99,$14.99,$39.99,$415.48
id474286241,"WeDrum: Drums, Real Drum Games",$7.99,$12.99,$79.99,$415.48
id559798172,Metronome - Tap Tempo & Rhythm,$9.99,$19.99,,$519.48
id662890455,Guitar Tuner - Ukulele & Bass,$7.99,,$79.99,$415.48
id1365011081,Guitar - real games & lessons,$9.49,$18.99,$75.99,$493.48
id1381436705,Drums: Play Beats & Drum Games,$9.49,$18.99,$75.99,$493.48
id1360309966,Piano - Music & keyboard game,$8.99,$19.99,$89.99,$467.48
id1438248122,"Guitar Tuner Pro, Bass,Ukulele",$9.99,$19.99,$59.99,$519.48
id1362013798,Beat maker pro - DJ Drum Pad,$7.99,$14.99,$59.99,$415.48
id1235472374,Karaoke Songs - Voice Singing,$9.99,$24.99,$89.99,$519.48
id1392338617,Piano Crush - Keyboard Games,$9.99,$19.99,$49.99,$519.48
id1022000001,edjing Pro - music remix maker,$9.99,$19.99,$69.99,$519.48
id1470224073,DJ it! - Music Mixer Pad,$9.99,$19.99,$39.99,$519.48
id1125826534,Jambl: DJ Band & Beat Maker,$7.99,$19.49,$45.99,$415.48
id1388274732,Guitar Play - Games & Songs,$9.99,$12.99,$99.99,$519.48
id1477199570,"Memoristo: Brain Test, IQ Game",$9.99,,$49.99,$519.48
id1515251400,Loop Maker Pro - Music Maker,$7.99,,,$415.48
id1439767245,Metronome Pro - Beat & Tempo,$7.99,$19.99,$69.99,$415.48
id777191669,Equalizer+ HD music player,$7.99,,$49.99,$415.48
id927920917,Bass Booster Volume Power Amp,$8.99,$18.99,$75.99,$467.48
id1084228340,Equalizer Fx: Bass Booster App,$7.99,$11.99,$49.99,$415.48
id1040149161,ScanGuru: PDF Document Scanner,$6.99,$19.99,$69.99,$363.48
id1056210011,Drink Water ∙ Daily Reminder,$7.99,$4.99,$29.99,$415.48
id1464513090,Password Manager - Lock Apps,$8.99,,$49.99,$467.48
id1462763762,Live Wallpaper Maker: 4K Theme,$7.99,,$49.99,$415.48
id1364842664,RECOLLECT: Color by Number,$5.99,$15.99,$69.99,$311.48
id1459119812,Avatar Maker Character Creator,$4.99,,$39.99,$259.48
id1458104794,Translator Guru: Voice & Text,$7.99,,$59.99,$415.48
id1468282792,Ringtones HD ∙ Ringtone Maker,$7.99,,$59.99,$415.48
id1450144832,Scanner App ∙ Scan & Sign PDF,$7.99,$9.99,$59.99,$415.48
id1403169042,Translate Camera - Speak On,$7.99,,$47.99,$415.48
,,,,,
SensorTower Estimated Download Total,,,,,"500,000,000"
,,,,,
SensorTower Estimated Revenue Total,,,,,"$365,000,000"
